"Id_images";"Elo_mean_all";"Elo_sd_all"
"D_SalisiEast_P9082655";894,742;91,7324821657208
"D_BadControl3_P9060890";882,024;92,8225481736493
"D_SalisiEast_P9082645";880,968;90,1444229722116
"D_BadControl3_P9060877";872,946;101,396145204156
"D_BadControl3_P9060880";861,629;103,558668187442
"D_SouthEast_P9020417";859,146;98,1465813741642
"D_SalisiEast_P9082662";856,327;95,1867353447191
"D_SalisiEast_P9082648";828,477;86,1182548872469
"D_SouthEast_P9020395";825,606;90,1906265257821
"D_SalisiEast_P9082634";818,257;107,431114652113
"D_SouthEast_P9020388";786,319;90,1436360156063
"D_SouthEast_P9020386";742,437;101,928963227066
"D_BadControl3_P9060863";736,132;97,2299142868707
"D_SouthEast_P9020396";736,022;97,3829089057569
"D_BadControl3_P9060879";723,577;98,5215538223366
"D_SouthEast_P9020390";706,662;97,0268311445961
"D_SouthEast_P9020397";694,921;100,305802489253
"D_BadControl3_P9060857";690,862;99,032481481524
"D_SouthEast_P9020415";684,371;105,214140562827
"D_SouthEast_P9020398";682,781;95,3560476048311
"D_BadControl3_P9060871";679,616;92,5103383774306
"D_SalisiEast_P9082641";651,443;103,257042218765
"D_SouthEast_P9020401";647,468;98,5306920369144
"D_SalisiEast_P9082651";635,544;100,275846091216
"D_SouthEast_P9020387";631,952;98,0228043169862
"D_SouthEast_P9020399";618,073;98,399818064848
"D_SouthEast_P9020413";616,268;94,5065906255837
"D_SouthEast_P9020408";591,657;101,282108076483
"D_SouthEast_P9020411";590,996;113,246645808107
"D_SouthEast_P9020412";585,023;101,223834820341
"D_BadControl3_P9060861";575,894;100,104863756701
"D_SouthEast_P9020418";569,168;95,6647559006007
"D_CentralEast_P9010168";553,49;100,756159631576
"D_SouthEast_P9020403";504,748;103,14544817625
"D_SouthEast_P9020404";496,716;104,819857596481
"D_SouthEast_P9020420";473,997;94,9366101720035
